x,y,target
0.51958096,-0.8544212,0
0.7893576,0.6139337,2
0.6243167,-0.7811713,1
-0.85641414,-0.5162894,0
-0.892239,0.4515635,1
-0.9996527,-0.026354035,1
-0.697217,-0.7168602,0
-0.60900813,0.79316396,2
0.46415767,-0.8857526,1
0.5768917,0.8168206,1
0.35035786,0.9366159,2
-0.81797135,-0.575259,2
-0.31492984,-0.949115,0
0.40980452,-0.9121734,1
-0.29628697,0.955099,2
-0.26074192,-0.96540856,1
-0.060807765,-0.9981495,0
0.14134239,-0.9899608,0
-0.98135674,-0.19219503,1
-0.04274191,-0.99908614,0
0.037860952,-0.999283,1
-0.6949511,-0.719057,0
0.7881785,0.6154467,0
0.13728607,-0.99053144,1
0.75401837,0.6568534,1
0.25138313,-0.96788764,1
-0.9908123,0.1352443,1
0.9979771,0.06357492,1
0.069999635,0.99754703,1
-0.22632605,0.9740516,2
-0.08275302,-0.9965701,0
0.4756148,-0.8796537,0
-0.79502416,0.6065778,1
-0.9829596,0.18382165,0
-0.96614754,-0.2579902,0
0.3646823,-0.931132,0
0.99799246,0.063333,2
0.8611472,0.5083556,1
-0.017621601,-0.99984473,1
0.16407357,0.9864481,2
-0.5096023,-0.8604101,0
0.08933167,-0.99600196,0
-0.21991113,-0.9755199,1
0.9926621,0.12092169,1
-0.98423225,0.17688113,1
-0.7242305,-0.68955797,0
0.96054053,0.27814013,2
-0.51212496,-0.858911,1
-0.9532326,0.30223778,2
0.95823646,-0.28597715,0
0.16276155,0.9866654,2
-0.30276945,0.95306385,2
0.9662059,-0.25777155,0
-0.24604169,0.96925926,2
0.11448885,-0.99342453,0
0.7008089,-0.71334904,1
0.61126506,0.79142594,2
-0.4542937,0.890852,2
0.61967075,-0.78486186,1
-0.87642074,-0.4815461,2
-0.6026351,0.7980169,2
-0.092167795,-0.9957435,0
-0.32407093,0.94603276,1
-0.9993519,-0.03599644,2
-0.33197638,-0.9432877,1
0.4199668,0.9075395,1
-0.5834382,-0.8121575,2
0.89237666,-0.4512914,1
0.52819955,-0.84912026,0
0.9194259,-0.39326325,1
0.7223886,-0.6914873,1
-0.68070245,0.73256004,1
-0.9894341,0.14498319,0
-0.07038079,-0.9975202,0
-0.4732827,-0.8809106,1
0.2832977,-0.959032,1
0.19279213,0.9812396,2
0.5281001,0.8491821,2
-0.66039425,-0.75091904,1
0.9998372,0.018043317,1
